Lickitung, Tentacool, Slowbro, Starmie, Charmander, Ivysaur, Dragonite, Doduo, Kabuto, Venonat, Nidoqueen, Pinsir, 29.3930575848, 2, 665.86770859, 75.4643155377, Dragonite, Zapdos, Gyarados, Dragonite, Dragonite, Dragonite, 28.5550484657, 4, 426.03310677, 64.4125235534, Jolteon, Lapras, Charizard, Weezing, Fearow, Marowak, 40.840067625, 4, 494.29130671, 68.0772981301
Geodude, Oddish, Sandslash, Ivysaur, Arbok, Slowbro, Dragonite, Dewgong, Dragonite, Jolteon, Ponyta, Tangela, 29.5918130875, 4, 479.5010067, 65.6664583993, Dragonite, Dragonite, Moltres, Dragonite, Snorlax, Dragonite, 28.6550042629, 4, 385.5010067, 55.6247863915, Dragonite, Charizard, Vileplume, Pinsir, Rhyhorn, Rattata, 40.5248200893, 4, 436.77630621, 56.4232149121
Clefairy, Aerodactyl, Sandshrew, Butterfree, Poliwag, Omanyte, Vaporeon, Moltres, Beedrill, Jigglypuff, Parasect, Venonat, 26.9710412025, 4, 441.88760692, 59.0791240946, Golem, Articuno, Moltres, Slowbro, Jolteon, Lapras, 26.3002974987, 4, 381.90470649, 60.143034421, Dragonite, Alakazam, Primeape, Venomoth, Poliwrath, Poliwag, 38.230979681, 5, 271.26550385, 40.823520125
Farfetch'd, Muk, Nidoqueen, Hypno, Oddish, Haunter, Golem, Mr. Mime, Shellder, Chansey, Snorlax, Zapdos, 27.1399531364, 2, 787.55121304, 101.985752537, Golem, Golem, Dragonite, Rhydon, Dragonite, Dragonite, 26.444890976, 4, 411.05020634, 64.2882189879, Rhydon, Charizard, Rhydon, Gyarados, Parasect, Snorlax, 38.4458522797, 3, 564.39840928, 66.1268388065
Flareon, Clefable, Dragonite, Vileplume, Ivysaur, Kingler, Dragonite, Vileplume, Poliwag, Magnemite, Flareon, Voltorb, 25.18384552, 0, 771.33280976, 69.6882096446, Dragonite, Dragonite, Articuno, Dragonite, Dragonite, Dragonite, 24.1438879967, 3, 579.52820894, 69.4217051123, Poliwrath, Venusaur, Dewgong, Fearow, Nidoking, Dragonite, 36.0417151451, 1, 870.40711257, 86.2890064608
Vileplume, Ivysaur, Rhydon, Wartortle, Dragonite, Charizard, Dragonite, Tentacool, Venomoth, Poliwag, Exeggcute, Cloyster, 27.4309406281, 0, 792.67091003, 78.2007361819, Moltres, Dragonite, Snorlax, Articuno, Golem, Golem, 26.9061317444, 3, 790.57391013, 81.4642276715, Alakazam, Dragonite, Dragonite, Cloyster, Dragonair, Gyarados, 38.5685384274, 3, 575.41830761, 62.6219841034
Dragonite, Bellsprout, Dodrio, Vileplume, Omastar, Venomoth, Articuno, Lapras, Cubone, Omanyte, Seel, Dugtrio, 27.2900955677, 0, 866.16881096, 77.9026482435, Articuno, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, 26.4587628841, 4, 477.5010067, 58.3316865282, Lapras, Raichu, Starmie, Magmar, Scyther, Muk, 38.5045433044, 2, 786.92910997, 71.7810342218
Slowbro, Vileplume, Chansey, Ivysaur, Diglett, Marowak, Dragonite, Slowbro, Seaking, Pidgeot, Gyarados, Machop, 27.6572766304, 3, 665.5610087, 93.7771874684, Arcanine, Dragonite, Moltres, Moltres, Dragonite, Dragonite, 26.9672560692, 4, 431.92040668, 71.5308214088, Alakazam, Venusaur, Pinsir, Dragonite, Jynx, Diglett, 38.9916014671, 3, 490.95040768, 85.6775630595
Dratini, Rhyhorn, Gyarados, Nidoking, Lickitung, Sandshrew, Dragonite, Jolteon, Pinsir, Scyther, Gloom, Slowpoke, 27.6468484402, 3, 469.16010767, 65.320087808, Dragonite, Dragonite, Dragonite, Gyarados, Dragonite, Dragonite, 26.8226161003, 4, 355.08160672, 54.1685696276, Dragonite, Raichu, Jynx, Dugtrio, Exeggutor, Pidgey, 39.0899407864, 3, 488.62940698, 62.5711947636
Dugtrio, Raichu, Raticate, Blastoise, Omastar, Machamp, Dragonite, Pidgeotto, Gyarados, Onix, Vaporeon, Pidgey, 27.5623817444, 2, 749.23441048, 85.3135493499, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, Exeggutor, 26.598957777, 4, 432.08160672, 61.0490046993, Poliwrath, Electabuzz, Arcanine, Dragonite, Alakazam, Electabuzz, 38.5030992031, 2, 689.83211007, 75.8664382994
Nidorina, Starmie, Victreebel, Rapidash, Gengar, Raticate, Dragonite, Golem, Dewgong, Mr. Mime, Mankey, Krabby, 28.3375406265, 3, 519.17580786, 65.7089273698, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, Rhydon, 27.5276916027, 4, 382.08160672, 54.2698695392, Blastoise, Rapidash, Dragonite, Kangaskhan, Eevee, Moltres, 39.7737257481, 3, 482.12590853, 68.7683218613
Zubat, Golem, Pinsir, Nidorino, Farfetch'd, Grimer, Gyarados, Koffing, Beedrill, Onix, Marowak, Chansey, 27.0276584625, 2, 552.8520084, 71.5654962226, Vaporeon, Gyarados, Gyarados, Dragonite, Gyarados, Dragonite, 26.248054266, 4, 430.88620754, 54.2724311903, Slowbro, Dragonite, Jynx, Clefable, Venonat, Wigglytuff, 38.3701820374, 4, 379.25990633, 48.2942501574
Ponyta, Pinsir, Blastoise, Lapras, Venomoth, Charizard, Dragonite, Pikachu, Psyduck, Seel, Ivysaur, Electrode, 27.0850920677, 0, 806.1060102, 91.3429852754, Dragonite, Dragonite, Jolteon, Venusaur, Golem, Dragonite, 26.213085413, 2, 661.75081036, 73.9490729673, Dragonite, Blastoise, Jolteon, Kingler, Gyarados, Alakazam, 38.042286396, 3, 573.36980766, 83.6496019136
Parasect, Seadra, Venonat, Nidoqueen, Hitmonchan, Clefairy, Dragonite, Nidorina, Nidoking, Ivysaur, Golem, Magmar, 28.8314540386, 3, 565.96610787, 70.3880838044, Dragonite, Dragonite, Dragonite, Gyarados, Gyarados, Dragonite, 27.981471777, 4, 369.08160672, 52.0374166499, Dragonite, Dragonite, Alakazam, Gyarados, Krabby, Weepinbell, 39.8759565353, 4, 370.29270609, 52.3058189349
Gloom, Krabby, Nidorino, Voltorb, Kangaskhan, Wartortle, Scyther, Graveler, Vileplume, Cubone, Omastar, Nidoran, 26.6967885494, 4, 400.92320544, 58.5839612125, Gyarados, Dragonite, Gyarados, Dragonite, Hitmonchan, Lapras, 25.837996006, 5, 302.58650455, 55.5509487527, Dragonite, Vileplume, Jolteon, Nidorino, Lapras, Growlithe, 38.0201208591, 5, 302.9260042, 51.0252608809
Seel, Venusaur, Arcanine, Spearow, Dewgong, Ponyta, Dragonite, Mr. Mime, Pikachu, Charmander, Arbok, Dugtrio, 28.3100497723, 2, 597.75640788, 78.6529448102, Dragonite, Dragonite, Dragonite, Golem, Rhydon, Poliwrath, 27.2365493774, 4, 402.08160672, 56.0023777806, Rapidash, Rhydon, Machamp, Gloom, Dugtrio, Nidoqueen, 39.3501873016, 4, 468.11440648, 61.974596185
Shellder, Seel, Nidoking, Raticate, Ivysaur, Krabby, Snorlax, Rhydon, Primeape, Slowbro, Blastoise, Ninetales, 26.811093092, 4, 554.32130771, 65.9255672349, Gyarados, Dragonite, Moltres, Alakazam, Dragonite, Arcanine, 25.9961054325, 5, 277.58650455, 50.0184716992, Gyarados, Dragonite, Dragonite, Magneton, Venonat, Poliwhirl, 38.1414773464, 5, 277.58650455, 50.0184716992
Poliwhirl, Arcanine, Blastoise, Jolteon, Nidorina, Hypno, Dragonite, Ninetales, Nidorina, Exeggutor, Golem, Omastar, 26.0225038528, 2, 721.12171039, 85.1487687552, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, 25.0093815327, 4, 465.08160672, 67.1674881448, Jolteon, Gyarados, Arcanine, Jolteon, Lapras, Ivysaur, 37.0107572079, 2, 647.12031101, 75.3457297383
Dewgong, Nidoking, Omanyte, Sandshrew, Clefairy, Arbok, Slowbro, Venusaur, Pidgeot, Dewgong, Gastly, Clefable, 28.3060517311, 4, 434.53380646, 66.3296601443, Poliwrath, Slowbro, Gyarados, Dragonite, Snorlax, Golem, 27.4609251022, 4, 419.56520684, 68.0499756702, Jolteon, Venusaur, Charizard, Cloyster, Snorlax, Dragonite, 39.362288475, 4, 419.53520584, 59.1369133345
Goldeen, Snorlax, Machamp, Ivysaur, Gloom, Grimer, Dragonite, Oddish, Ninetales, Kangaskhan, Rhydon, Ponyta, 25.9323372841, 2, 643.76651055, 80.4142676194, Dragonite, Dragonite, Dragonite, Moltres, Dragonite, Moltres, 25.1207849979, 4, 390.08160672, 60.3396451549, Electrode, Moltres, Articuno, Victreebel, Squirtle, Omastar, 37.0255870819, 4, 480.24420614, 75.1595856089
Nidoking, Pidgeotto, Alakazam, Slowpoke, Arcanine, Cubone, Lapras, Abra, Mr. Mime, Dodrio, Ekans, Sandshrew, 27.5996057987, 0, 776.86490983, 70.5514866391, Gyarados, Dragonite, Gyarados, Dragonite, Dragonite, Dragonite, 26.7090454102, 4, 408.14580686, 52.8490256352, Scyther, Poliwrath, Dragonite, Dragonite, Rhydon, Poliwrath, 38.7736458778, 3, 554.28710857, 64.0972007808
Beedrill, Eevee, Rhydon, Mankey, Flareon, Machop, Gyarados, Meowth, Slowpoke, Hitmonlee, Machamp, Pidgeotto, 26.6387882233, 2, 594.26860962, 59.775340532, Gyarados, Dragonite, Gyarados, Gyarados, Gyarados, Gyarados, 25.8166017532, 5, 312.58650455, 46.8191317882, Vaporeon, Gyarados, Gyarados, Haunter, Pidgey, Golduck, 37.5968906879, 5, 410.32690523, 53.8621494696
Magmar, Paras, Ekans, Electabuzz, Alakazam, Arbok, Dragonite, Kingler, Goldeen, Exeggutor, Weepinbell, Aerodactyl, 27.823990345, 3, 442.83770759, 53.8758768421, Dragonite, Dragonite, Dragonite, Rhydon, Dragonite, Dragonite, 27.0158765316, 5, 332.05440448, 46.7900012605, Dragonite, Machamp, Lickitung, Arcanine, Paras, Scyther, 39.3022148609, 3, 555.3670089, 58.068067696
Seel, Tentacruel, Clefable, Cloyster, Kingler, Pidgeotto, Rhydon, Cloyster, Venonat, Seaking, Slowbro, Vileplume, 28.4896609783, 2, 705.04181006, 102.57374713, Rhydon, Golem, Alakazam, Lapras, Poliwrath, Zapdos, 27.6518263817, 3, 524.01180906, 69.2106060747, Jolteon, Jolteon, Moltres, Tentacruel, Weezing, Electabuzz, 40.0378289223, 3, 482.80490783, 62.648047016
Vulpix, Kingler, Seaking, Nidorina, Meowth, Nidoqueen, Dragonite, Goldeen, Kabutops, Dratini, Tauros, Spearow, 27.5173766613, 3, 482.87190673, 67.858014378, Dragonite, Venusaur, Dragonite, Dragonite, Dragonite, Rhydon, 26.6020689011, 4, 374.06590653, 60.7086629809, Jolteon, Dragonite, Kingler, Hypno, Venusaur, Ponyta, 38.5027077198, 4, 324.93890563, 46.848708142
Scyther, Ninetales, Alakazam, Krabby, Shellder, Marowak, Golem, Dragonite, Vaporeon, Sandshrew, Rapidash, Diglett, 26.4407925606, 4, 377.80630721, 49.9229092588, Golem, Dragonite, Gyarados, Dragonite, Dragonite, Dragonite, 25.5484018326, 4, 352.5980066, 48.528044601, Golem, Bulbasaur, Electrode, Machamp, Dragonite, Drowzee, 37.564132452, 3, 544.8220074, 55.003165002
Golbat, Omanyte, Moltres, Grimer, Kadabra, Charizard, Dragonite, Nidorina, Nidoqueen, Golem, Charmander, Porygon, 26.849668026, 3, 572.27140838, 64.2145064174, Dragonite, Gyarados, Gyarados, Golem, Gyarados, Golem, 25.8590891361, 4, 403.14580686, 53.4850946999, Gyarados, Gyarados, Slowbro, Hitmonlee, Nidoking, Hitmonchan, 37.7221314907, 4, 441.67790693, 56.4338571494
Venonat, Nidorino, Tentacool, Arbok, Seadra, Krabby, Moltres, Beedrill, Golduck, Seadra, Beedrill, Krabby, 25.7788422108, 4, 448.13150605, 62.3135437316, Electrode, Snorlax, Omastar, Snorlax, Jolteon, Primeape, 24.9583694935, 4, 454.79060702, 64.3361552209, Alakazam, Dragonite, Eevee, Hitmonchan, Golduck, Mr. Mime, 37.137144804, 5, 243.26550385, 34.5062549722
Victreebel, Seel, Charizard, Jynx, Tentacool, Alakazam, Dragonite, Golbat, Dragonair, Hitmonchan, Venusaur, Seadra, 28.6624202728, 1, 810.44271109, 71.1296126798, Arcanine, Dragonite, Gyarados, Golem, Snorlax, Dragonite, 27.8411235809, 3, 586.04460882, 63.4485084979, Tentacruel, Jolteon, Gyarados, Exeggutor, Gyarados, Ninetales, 39.8411128521, 3, 585.80350845, 66.2549897526
