Golbat, Dewgong, Dodrio, Hitmonchan, Dragonite, Poliwhirl, Jolteon, Seadra, Jigglypuff, Slowpoke, Alakazam, Eevee, 14.3080606461, 0, 908.05471149, 67.2750734276, Jolteon, Zapdos, Dragonite, Dragonite, Articuno, Dragonite, 13.8740715981, 4, 490.14720624, 59.0259840478, Electrode, Moltres, Scyther, Golduck, Lapras, Staryu, 19.1766982079, 2, 656.36281076, 79.1038320326
Parasect, Ekans, Abra, Arbok, Seel, Tentacruel, Moltres, Gengar, Eevee, Abra, Rattata, Kabutops, 13.7130217552, 4, 384.03590553, 56.0108710812, Poliwrath, Snorlax, Nidoking, Snorlax, Jolteon, Arcanine, 13.2334735394, 4, 501.90190773, 76.0973513548, Dragonite, Gyarados, Golem, Haunter, Ponyta, Nidoking, 18.6685366631, 5, 358.58650455, 54.9759182139
Omastar, Beedrill, Ivysaur, Mr. Mime, Arcanine, Machop, Dragonite, Kingler, Starmie, Kabuto, Parasect, Aerodactyl, 14.4011743069, 2, 584.43260842, 67.4868656298, Lapras, Dragonite, Dragonite, Dragonite, Golem, Dragonite, 14.0200834274, 4, 485.8220074, 70.0482422196, Slowbro, Flareon, Jolteon, Pinsir, Dragonite, Rhydon, 19.4761357307, 3, 507.57950765, 64.657493175
Vaporeon, Koffing, Machoke, Rhyhorn, Gengar, Chansey, Zapdos, Omastar, Clefable, Wartortle, Rattata, Tauros, 13.0881567001, 1, 839.92631121, 119.24311442, Dragonite, Dragonite, Dragonite, Dragonite, Gyarados, Lapras, 12.6333315372, 4, 369.08160672, 70.6804896968, Exeggutor, Dragonite, Alakazam, Gengar, Koffing, Poliwhirl, 17.9324362278, 4, 413.82480616, 70.6224083131
Bellsprout, Ponyta, Farfetch'd, Poliwag, Charizard, Omanyte, Charizard, Golem, Tentacruel, Articuno, Hitmonchan, Aerodactyl, 13.7282795906, 5, 296.86180406, 39.3088185863, Golem, Flareon, Moltres, Blastoise, Jolteon, Tentacruel, 13.2704560757, 4, 448.13150605, 52.6298131307, Dragonite, Gyarados, Gyarados, Kangaskhan, Meowth, Sandslash, 18.8888180256, 5, 255.58650455, 39.3273009568
Pidgeot, Grimer, Abra, Nidorina, Exeggutor, Weezing, Jolteon, Abra, Kadabra, Koffing, Persian, Ninetales, 14.1522288322, 1, 627.81780926, 65.6784086407, Jolteon, Gyarados, Dragonite, Moltres, Dragonite, Snorlax, 13.6923344135, 4, 373.25990633, 53.2920607238, Tauros, Jynx, Moltres, Venusaur, Omastar, Lapras, 19.195745945, 4, 464.01880596, 59.1151490075
Meowth, Pinsir, Pidgeotto, Weezing, Dragonite, Flareon, Dragonite, Cubone, Clefairy, Machoke, Golbat, Squirtle, 13.7730960846, 0, 874.07181106, 73.2217398412, Moltres, Dragonite, Dragonite, Lapras, Poliwrath, Gyarados, 13.4234080315, 4, 465.5010067, 56.3368681324, Arcanine, Dragonite, Gyarados, Pidgey, Bulbasaur, Staryu, 18.7933914661, 3, 634.72360812, 62.5926202407
Mr. Mime, Kadabra, Starmie, Ponyta, Farfetch'd, Psyduck, Dragonite, Nidoran, Dragonair, Nidoking, Kadabra, Machop, 14.4403340816, 3, 543.56380746, 58.3969849581, Aerodactyl, Articuno, Gyarados, Dragonite, Dragonite, Jolteon, 13.9722447395, 4, 462.01740658, 59.8392032736, Vaporeon, Gyarados, Dragonite, Zapdos, Dodrio, Lapras, 19.3690280914, 4, 430.35410747, 51.1941178829
Hitmonchan, Ninetales, Pinsir, Moltres, Electabuzz, Magneton, Gyarados, Hitmonlee, Kabutops, Beedrill, Alakazam, Mankey, 12.5087122917, 2, 658.94760892, 85.3004168617, Gyarados, Moltres, Gyarados, Dragonite, Golem, Rhydon, 12.0699214935, 3, 629.59240908, 73.7148636573, Gyarados, Gyarados, Tentacruel, Dragonite, Rhydon, Clefable, 17.4248316288, 3, 592.15730891, 75.8787578099
Seaking, Victreebel, Spearow, Moltres, Vaporeon, Pidgeot, Dragonite, Voltorb, Shellder, Muk, Alakazam, Gyarados, 12.4869747162, 1, 724.97481116, 78.6875729115, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, 12.1689920425, 4, 456.08160672, 64.335695639, Victreebel, Alakazam, Dragonite, Victreebel, Electabuzz, Kangaskhan, 17.5640385151, 2, 635.96190973, 66.6649015851
