Electabuzz, Raticate, Snorlax, Rattata, Graveler, Clefable, Rhydon, Kabutops, Seadra, Hitmonlee, Alakazam, Primeape, 2.70018935204, 2, 581.94760892, 74.568002431, Rhydon, Dragonite, Moltres, Machoke, Ninetales, Tentacruel, 2.62546253204, 4, 474.46820694, 64.8537112645, Dragonite, Dragonite, Rhydon, Lapras, Moltres, Bellsprout, 2.94622302055, 4, 430.04880696, 63.1804228545
Electabuzz, Sandslash, Clefairy, Tentacool, Raticate, Tangela, Snorlax, Electabuzz, Vaporeon, Rapidash, Jigglypuff, Gloom, 2.72941470146, 3, 688.76790993, 91.8635183781, Lapras, Vileplume, Omastar, Snorlax, Nidorino, Pikachu, 2.66485762596, 3, 630.1060102, 78.2764392997, Dragonite, Machamp, Golbat, Machamp, Voltorb, Dodrio, 2.89320969582, 5, 333.47380446, 53.3652324128
Butterfree, Growlithe, Oddish, Spearow, Tentacruel, Doduo, Snorlax, Magmar, Krabby, Jolteon, Kangaskhan, Fearow, 2.67191934586, 3, 528.46540818, 67.0909065315, Doduo, Oddish, Omastar, Tauros, Jolteon, Lapras, 2.63062953949, 2, 555.9490083, 58.1965060587, Dragonite, Dragonite, Rhydon, Jigglypuff, Jolteon, Horsea, 2.94391036034, 5, 264.05440448, 40.1072225162
Arcanine, Krabby, Zubat, Seel, Kabutops, Sandslash, Lapras, Hypno, Machop, Tauros, Magmar, Nidoran, 2.78505468369, 3, 630.78640888, 80.181253648, Golem, Snorlax, Gyarados, Weepinbell, Electrode, Exeggcute, 2.71232557297, 4, 494.22430781, 64.7525540842, Dragonite, Poliwrath, Dragonite, Venusaur, Magneton, Primeape, 3.01824235916, 5, 340.47380446, 54.9700230897
Sandshrew, Ekans, Rhydon, Machamp, Magnemite, Lapras, Dragonite, Drowzee, Pidgeot, Paras, Charizard, Sandshrew, 2.84998297691, 1, 762.89491083, 80.2786148567, Golduck, Dragonite, Pidgeot, Tauros, Electrode, Poliwag, 2.74201464653, 3, 607.90050835, 73.1877744156, Gyarados, Venusaur, Raichu, Vaporeon, Eevee, Machoke, 3.03958725929, 4, 434.92180606, 58.5642924558
Machamp, Kangaskhan, Mankey, Wartortle, Kabuto, Fearow, Exeggcute, Gengar, Jynx, Gloom, Tauros, Hypno, 2.68150925636, 2, 628.62520884, 68.6561137157, Scyther, Flareon, Moltres, Tauros, Chansey, Doduo, 2.58452033997, 3, 484.80490783, 68.0546926225, Dragonite, Dragonite, Dragonite, Jolteon, Poliwhirl, Gloom, 2.87782979012, 5, 323.05440448, 53.4536194973
Mr. Mime, Vileplume, Articuno, Weezing, Muk, Hitmonlee, Gyarados, Nidoran, Porygon, Pidgeotto, Cloyster, Slowpoke, 2.5703496933, 0, 871.70091103, 88.2046763932, Snorlax, Chansey, Lapras, Gengar, Exeggutor, Machop, 2.51298332214, 2, 1053.0620154, 123.74025216, Moltres, Rapidash, Arcanine, Raichu, Growlithe, Gloom, 2.78568458557, 1, 759.50691123, 83.3624295058
Pidgey, Porygon, Sandslash, Muk, Hitmonlee, Exeggutor, Dragonite, Omanyte, Psyduck, Exeggcute, Magmar, Meowth, 2.78096556664, 1, 681.44550985, 75.9661647012, Aerodactyl, Porygon, Slowpoke, Wartortle, Vaporeon, Tentacruel, 2.70739626884, 1, 986.6810127, 96.3734728824, Moltres, Snorlax, Dragonite, Dragonite, Raticate, Sandslash, 2.98984456062, 4, 575.12730791, 69.8459294753
Seaking, Lickitung, Parasect, Cloyster, Persian, Ponyta, Exeggutor, Shellder, Exeggutor, Pinsir, Dewgong, Dodrio, 2.81786298752, 1, 793.05471149, 84.1143536793, Fearow, Vileplume, Rhydon, Charmeleon, Diglett, Tentacool, 2.73410630226, 0, 794.25151005, 85.3183117599, Gyarados, Dragonite, Snorlax, Weezing, Geodude, Wigglytuff, 2.98144340515, 4, 624.240008, 80.640426216
Exeggcute, Exeggcute, Lapras, Exeggcute, Ivysaur, Gastly, Lapras, Drowzee, Primeape, Nidoqueen, Sandshrew, Jigglypuff, 3.01430845261, 3, 661.23860862, 80.5306322004, Abra, Weezing, Moltres, Snorlax, Jolteon, Lapras, 2.95618534088, 3, 511.12590853, 64.661878784, Pinsir, Dragonite, Charizard, Moltres, Dewgong, Muk, 3.22046613693, 5, 315.70060402, 46.798532252
